IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.223.232,443,443,true,ORD,North America,Chicago,296,2.64
165.232.77.198,443,443,true,FRA,Europe,Frankfurt,243,2.63
141.147.72.142,443,443,true,FRA,Europe,Frankfurt,276,2.60
34.22.142.117,443,443,true,CDG,Europe,Paris,282,2.59
67.226.220.10,443,443,true,IAD,North America,Ashburn,255,2.54
64.226.94.33,443,443,true,FRA,Europe,Frankfurt,321,2.54
185.203.116.174,443,443,true,SOF,Europe,Sofia,219,2.52
141.148.228.83,443,443,true,FRA,Europe,Frankfurt,319,2.47
3.108.117.25,443,443,true,BOM,Asia Pacific,Mumbai,309,2.44
185.114.77.159,443,443,true,SJC,North America,San Jose,178,2.42
185.255.172.154,443,443,true,IST,Europe,Istanbul,210,2.42
3.18.225.231,443,443,true,CMH,North America,Columbus,244,2.35
18.211.101.20,443,443,true,IAD,North America,Ashburn,236,2.34
77.245.156.166,443,443,true,FRA,Europe,Frankfurt,271,2.33
144.21.34.19,443,443,true,FRA,Europe,Frankfurt,274,2.33
138.197.183.219,443,443,true,FRA,Europe,Frankfurt,245,2.32
188.132.183.136,443,443,true,IST,Europe,Istanbul,254,2.24
77.91.72.252,443,443,true,BUD,Europe,Budapest,387,2.11
84.235.174.148,443,443,true,FRA,Europe,Frankfurt,278,2.10
141.98.169.42,443,443,true,ARN,Europe,Stockholm,301,2.04
185.103.255.245,443,443,true,AMS,Europe,Amsterdam,194,2.03
185.233.203.228,443,443,true,AMS,Europe,Amsterdam,246,2.02
193.109.84.39,443,443,true,KBP,Europe,Kyiv,277,2.01
158.178.145.112,443,443,true,FRA,Europe,Frankfurt,291,2.00
185.103.255.186,443,443,true,AMS,Europe,Amsterdam,230,1.99
147.45.73.218,443,443,true,ARN,Europe,Stockholm,253,1.98
130.162.45.160,443,443,true,FRA,Europe,Frankfurt,291,1.97
185.39.206.164,443,443,true,AMS,Europe,Amsterdam,206,1.92
18.168.114.50,443,443,true,LHR,Europe,London,294,1.88
16.171.60.7,443,443,true,ARN,Europe,Stockholm,204,1.86
35.177.50.118,443,443,true,LHR,Europe,London,228,1.81
185.94.165.167,443,443,true,AMS,Europe,Amsterdam,231,1.71
43.130.99.209,443,443,true,IAD,North America,Ashburn,327,1.69
45.144.49.128,443,443,true,HAM,Europe,Hamburg,280,1.68
217.196.103.23,443,443,true,FRA,Europe,Frankfurt,208,1.62
204.110.223.110,443,443,true,ORD,North America,Chicago,238,1.62
52.165.82.62,443,443,true,ORD,North America,Chicago,299,1.61
94.78.67.171,443,443,true,LCA,Europe,Nicosia,230,1.61
185.58.207.12,443,443,true,ARN,Europe,Stockholm,260,1.59
37.1.194.7,443,443,true,FRA,Europe,Frankfurt,242,1.55
38.242.158.2,443,443,true,DUS,Europe,Düsseldorf,259,1.49
142.93.141.178,443,443,true,AMS,Europe,Amsterdam,271,1.38
45.86.228.104,443,443,true,SIN,Asia Pacific,Singapore,267,1.37
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,292,1.36
45.81.227.122,443,443,true,AMS,Europe,Amsterdam,215,1.33
46.101.243.68,443,443,true,FRA,Europe,Frankfurt,272,1.31
8.223.39.101,443,443,true,HKG,Asia Pacific,Hong Kong,62,1.29
46.19.99.68,443,443,true,FRA,Europe,Frankfurt,389,1.21
172.208.44.21,443,443,true,IAD,North America,Ashburn,269,1.21
89.248.207.37,443,443,true,LED,Europe,Saint Petersburg,284,1.20
47.21.145.234,443,443,true,EWR,North America,Newark,262,1.18
52.209.252.183,443,443,true,DUB,Europe,Dublin,233,1.16
207.174.31.150,443,443,true,ATL,North America,Atlanta,231,1.16
3.124.208.189,443,443,true,FRA,Europe,Frankfurt,217,1.04
80.76.32.12,443,443,true,FRA,Europe,Frankfurt,186,0.95
104.156.149.253,443,443,true,AMS,Europe,Amsterdam,260,0.93
213.1.145.50,443,443,true,LHR,Europe,London,225,0.93
185.102.136.39,443,443,true,KBP,Europe,Kyiv,299,0.91
52.18.155.172,443,443,true,DUB,Europe,Dublin,234,0.90
95.214.9.72,443,443,true,KBP,Europe,Kyiv,251,0.90
172.247.21.125,443,443,true,LAX,North America,Los Angeles,164,0.80
158.220.100.240,443,443,true,DUS,Europe,Düsseldorf,244,0.79
3.249.49.224,443,443,true,DUB,Europe,Dublin,214,0.78
185.233.203.134,443,443,true,AMS,Europe,Amsterdam,213,0.75
72.13.122.137,443,443,true,LAX,North America,Los Angeles,190,0.74
185.241.192.93,443,443,true,DME,Europe,Moscow,279,0.74
195.234.62.215,443,443,true,FRA,Europe,Frankfurt,266,0.69
49.207.36.81,443,443,true,MAA,Asia Pacific,Chennai,385,0.67
185.237.219.169,443,443,true,AMS,Europe,Amsterdam,225,0.67
217.160.216.30,443,443,true,FRA,Europe,Frankfurt,254,0.63
185.104.250.204,443,443,true,ARN,Europe,Stockholm,254,0.62
208.67.105.21,443,443,true,AMS,Europe,Amsterdam,272,0.59
88.119.161.187,443,443,true,WAW,Europe,Warsaw,220,0.58
172.82.16.99,443,443,true,SJC,North America,San Jose,169,0.58
91.220.43.138,443,443,true,FRA,Europe,Frankfurt,242,0.55
212.224.93.171,443,443,true,FRA,Europe,Frankfurt,263,0.54
165.227.134.63,443,443,true,FRA,Europe,Frankfurt,308,0.53
94.142.137.72,443,443,true,AMS,Europe,Amsterdam,211,0.51
172.174.249.255,443,443,true,EWR,North America,Newark,303,0.46
95.179.197.216,443,443,true,LHR,Europe,London,260,0.42
194.147.33.13,443,443,true,AMS,Europe,Amsterdam,230,0.37
193.233.202.153,443,443,true,OTP,Europe,Bucharest,237,0.34
35.189.113.240,443,443,true,LHR,Europe,London,256,0.25
130.162.184.213,443,443,true,FRA,Europe,Frankfurt,318,0.25
147.45.79.136,443,443,true,DEN,North America,Denver,219,0.22
188.34.200.15,443,443,true,FRA,Europe,Frankfurt,298,0.18
89.27.8.25,443,443,true,CPH,Europe,Copenhagen,250,0.16
70.34.248.95,443,443,true,WAW,Europe,Warsaw,305,0.11
85.255.4.39,443,443,true,PRG,Europe,Prague,298,0.10
18.135.188.86,443,443,true,LHR,Europe,London,193,0.09
193.47.100.208,443,443,true,DUS,Europe,Düsseldorf,285,0.09
3.98.73.243,443,443,true,YUL,North America,Montréal,262,0.08
5.255.99.242,443,443,true,AMS,Europe,Amsterdam,268,0.08
15.157.7.168,443,443,true,YUL,North America,Montréal,236,0.08
194.87.1.73,443,443,true,ARN,Europe,Stockholm,328,0.08
2.59.183.223,443,443,true,AMS,Europe,Amsterdam,246,0.08
3.99.106.179,443,443,true,YUL,North America,Montréal,238,0.07
141.98.116.65,443,443,true,IST,Europe,Istanbul,365,0.07
79.133.183.150,443,443,true,FRA,Europe,Frankfurt,269,0.06
208.67.105.157,443,443,true,AMS,Europe,Amsterdam,299,0.05
5.2.67.113,443,443,true,AMS,Europe,Amsterdam,262,0.04
